Year,Month,Region,Model,Units_Sold,Avg_Price_EUR,Revenue_EUR,BEV_Share,Premium_Share,GDP_Growth,Fuel_Price_Index,Calculated_Revenue,Date,Quarter,Revenue_per_unit,Sales_Lag_1,Sales_Lag_3,Sales_Lag_6,Sales_Rolling_3,Sales_Rolling_6,Sales_Growth,EV_Demand_Index
2018,1,Europe,X7,8474,92300,782150200,0.035,19.12,3.5,1.0,782150200,2018-01-01,1,92300.0,7420.0,10280.0,7822.0,6333.0,6309.666666666667,0.14204851752021552,0.035
2018,1,China,X3,10727,57363,615332901,0.014,17.6,2.37,1.02,615332901,2018-01-01,1,57363.0,8474.0,3105.0,2554.0,8873.666666666666,7671.833333333333,0.26587207930139245,0.014280000000000001
2018,1,Europe,i4,10607,64082,679717774,0.035,19.12,3.5,1.0,679717774,2018-01-01,1,64082.0,10727.0,7420.0,6025.0,9936.0,8435.5,-0.011186725086230975,0.035
2018,1,China,X5,8298,68390,567500220,0.017,17.6,2.37,1.02,567500220,2018-01-01,1,68390.0,10607.0,8474.0,10280.0,9877.333333333334,8105.166666666667,-0.21768643348731964,0.01734
2018,1,China,X7,9119,90034,821020046,0.02,17.6,2.37,1.02,821020046,2018-01-01,1,90034.0,8298.0,10727.0,3105.0,9341.333333333334,9107.5,0.09893950349481795,0.0204
2018,1,China,i4,5369,64955,348743395,0.009,17.6,2.37,1.02,348743395,2018-01-01,1,64955.0,9119.0,10607.0,7420.0,7595.333333333333,8765.666666666666,-0.41122930145849323,0.009179999999999999
2018,1,China,3 Series,3826,48068,183908168,0.021,17.6,2.37,1.02,183908168,2018-01-01,1,48068.0,5369.0,8298.0,8474.0,6104.666666666667,7991.0,-0.28739057552616876,0.02142
2018,1,USA,MINI,4706,43645,205393370,0.019,20.49,0.82,0.97,205393370,2018-01-01,1,43645.0,3826.0,9119.0,10727.0,4633.666666666667,6987.5,0.23000522739153162,0.01843
2018,1,China,iX,3880,76461,296668680,0.007,17.6,2.37,1.02,296668680,2018-01-01,1,76461.0,4706.0,5369.0,10607.0,4137.333333333333,5866.333333333333,-0.17552061198470037,0.0071400000000000005
2018,1,RestOfWorld,X3,9390,58842,552526380,0.012,6.28,4.18,0.97,552526380,2018-01-01,1,58842.0,3880.0,3826.0,8298.0,5992.0,6048.333333333333,1.420103092783505,0.01164
2018,1,China,5 Series,7498,62435,468137630,0.015,17.6,2.37,1.02,468137630,2018-01-01,1,62435.0,9390.0,4706.0,9119.0,6922.666666666667,5778.166666666667,-0.20149094781682642,0.0153
2018,1,USA,5 Series,3209,61076,195992884,0.004,20.49,0.82,0.97,195992884,2018-01-01,1,61076.0,7498.0,3880.0,5369.0,6699.0,5418.166666666667,-0.5720192051213657,0.0038799999999999998
2018,1,Europe,iX,4805,73975,355449875,0.016,19.12,3.5,1.0,355449875,2018-01-01,1,73975.0,3209.0,9390.0,3826.0,5170.666666666667,5581.333333333333,0.4973511997507012,0.016
2018,1,RestOfWorld,3 Series,10121,47485,480595685,-0.0,6.28,4.18,0.97,480595685,2018-01-01,1,47485.0,4805.0,7498.0,4706.0,6045.0,6483.833333333333,1.106347554630593,-0.0
2018,1,USA,X3,7017,56379,395611443,0.007,20.49,0.82,0.97,395611443,2018-01-01,1,56379.0,10121.0,3209.0,3880.0,7314.333333333333,7006.666666666667,-0.306689062345618,0.00679
2018,1,USA,X5,10624,70112,744869888,0.011,20.49,0.82,0.97,744869888,2018-01-01,1,70112.0,7017.0,4805.0,9390.0,9254.0,7212.333333333333,0.5140373378936867,0.010669999999999999
